head	head_label	relation	tail	tail_label	doc_id	title	sentence	created_at
ഉഷ്ണമേഖലാ	CONDITION	affects	കരിമ്പ്	CROP	5	Crop Classification Based on Climatic Conditions	ഉഷ്ണമേഖലാവിളകളിൽ തെങ്ങും കരിമ്പ് ഉൾപ്പെടുന്നു	2026-05-18T13:31:38.701925
വിളവെടുപ്പ്	PRACTICE	applied_to	വഴുതന	CROP	8	വഴുതന കൃഷി സിമ്പിൾ ആണ്, പവർഫുള്ളും	വർഷം മുഴുവനും വിളവെടുപ്പ് സാധ്യമായ വഴുതന ഫോസ്ഫറസ്, കാൽസ്യം, ഇരുമ്പ് തുടങ്ങിയവയുടെ സ്രോതസ്സാണ്	2026-05-18T13:31:38.715000
ഫോസ്ഫറസ്	FERTILIZER	used_for	വഴുതന	CROP	8	വഴുതന കൃഷി സിമ്പിൾ ആണ്, പവർഫുള്ളും	വർഷം മുഴുവനും വിളവെടുപ്പ് സാധ്യമായ വഴുതന ഫോസ്ഫറസ്, കാൽസ്യം, ഇരുമ്പ് തുടങ്ങിയവയുടെ സ്രോതസ്സാണ്	2026-05-18T13:31:38.715000
കാൽസ്യം	FERTILIZER	used_for	വഴുതന	CROP	8	വഴുതന കൃഷി സിമ്പിൾ ആണ്, പവർഫുള്ളും	വർഷം മുഴുവനും വിളവെടുപ്പ് സാധ്യമായ വഴുതന ഫോസ്ഫറസ്, കാൽസ്യം, ഇരുമ്പ് തുടങ്ങിയവയുടെ സ്രോതസ്സാണ്	2026-05-18T13:31:38.715000
ഇരുമ്പ്	FERTILIZER	used_for	വഴുതന	CROP	8	വഴുതന കൃഷി സിമ്പിൾ ആണ്, പവർഫുള്ളും	വർഷം മുഴുവനും വിളവെടുപ്പ് സാധ്യമായ വഴുതന ഫോസ്ഫറസ്, കാൽസ്യം, ഇരുമ്പ് തുടങ്ങിയവയുടെ സ്രോതസ്സാണ്	2026-05-18T13:31:38.715000
ജലസേചനം	PRACTICE	applied_to	വഴുതന	CROP	8	വഴുതന കൃഷി സിമ്പിൾ ആണ്, പവർഫുള്ളും	കാലാവസ്ഥ, മണ്ണ്, വിത്ത് തിരഞ്ഞെടുക്കൽ, നടീൽ രീതി, ജലസേചനം, വളം പ്രയോഗം, കീടാക്രമണ നിയന്ത്രണം, വിളവെടുപ്പ് എന്നിവയാണ് വഴുതന കൃഷി ചെയ്യുമ്പോൾ നാം പ്രധാനമായും ശ്രദ്ധിക്കേണ്ടത്	2026-05-18T13:31:38.715999
നടീൽ	PRACTICE	applied_to	വഴുതന	CROP	8	വഴുതന കൃഷി സിമ്പിൾ ആണ്, പവർഫുള്ളും	കാലാവസ്ഥ, മണ്ണ്, വിത്ത് തിരഞ്ഞെടുക്കൽ, നടീൽ രീതി, ജലസേചനം, വളം പ്രയോഗം, കീടാക്രമണ നിയന്ത്രണം, വിളവെടുപ്പ് എന്നിവയാണ് വഴുതന കൃഷി ചെയ്യുമ്പോൾ നാം പ്രധാനമായും ശ്രദ്ധിക്കേണ്ടത്	2026-05-18T13:31:38.715999
വളപ്രയോഗം	PRACTICE	applied_to	നാരകം	CROP	12	ഇനി നാരങ്ങ കടയിൽ നിന്നും വാങ്ങണ്ട; വീട്ടിൽ തന്നെ നട്ടുവളർത്താം എളുപ്പത്തിൽ	ഇത് വരെ കായ്ക്കാത്ത നാരകം ആണ് എങ്കിൽ 18-18 അല്ലെങ്കിൽ 19-19 വളപ്രയോഗം നടത്തുക	2026-05-18T13:31:38.789979
സൂര്യപ്രകാശം	CONDITION	affects	ഇഞ്ചി	CROP	14	ഒരു കഷ്ണം ഇഞ്ചി മതി, ഇനി 365 ദിവസവും വിളവെടുക്കാം	സൂര്യപ്രകാശം നന്നായി ലഭിക്കുന്ന ഇടങ്ങളിലാണ് ഇഞ്ചി നന്നായി വിളയുക	2026-05-18T13:31:38.828681
സൂര്യപ്രകാശം	CONDITION	affects	നാരകം	CROP	15	വീട്ടുമുറ്റത്തെ ചെറുനാരകം കായ്ക്കുന്നില്ല? വിഷമിക്കേണ്ട വഴിയുണ്ട്	ധാരാളം സൂര്യപ്രകാശം ആവശ്യമുള്ള ഒരു ചെടിയാണ് നാരകം	2026-05-18T13:31:38.843906
മഴ	CONDITION	affects	കാന്താരി	CROP	18	ഇനി ഇഷ്ടം പോലെ കാന്താരി, ഇതാ ഇങ്ങനെ ചെയ്ത് നോക്കൂ	വെയിലും മഴയും തണലും തണുപ്പും ചൂടും ഒന്നും കാന്താരി കൃഷിക്ക് തടസ്സമല്ല	2026-05-18T13:31:38.938518
വാതരോഗം	DISEASE	affects	കാന്താരി	CROP	18	ഇനി ഇഷ്ടം പോലെ കാന്താരി, ഇതാ ഇങ്ങനെ ചെയ്ത് നോക്കൂ	വാതരോഗം , അജീർണം, വായുക്ഷോഭം, അമിതവണ്ണം, പല്ലുവേദന, കൊളസ്ട്രോൾ എന്നിവ കുറയ്ക്കാൻ കാന്താരി ഔഷധമായും ഉപയോഗിക്കാറുണ്ട്	2026-05-18T13:31:38.947524
ജൈവവളം	FERTILIZER	used_for	ചക്ക	CROP	19	വീട്ടിൽ ജൈവകൃഷി ചെയ്യുന്നവരാണോ? ചെയ്യാവുന്ന ജൈവ കീടനിയന്ത്രണ രീതികൾ ഇതാ	ട്രൈക്കോഡെർമ ചേർത്ത് സമ്പുഷ്ടീകരിച്ച ജൈവവളം അടിസ്‌ഥാന വളമായി നൽകിയാൽ കീടങ്ങളുടെ ആക്രമണത്തിൽ പച്ചക്കറികളെ മികച്ച രീതിയിൽ സംരക്ഷിക്കാൻ ആകും	2026-05-18T13:31:38.954888
ചാഴി	PEST	affects	ചക്ക	CROP	19	വീട്ടിൽ ജൈവകൃഷി ചെയ്യുന്നവരാണോ? ചെയ്യാവുന്ന ജൈവ കീടനിയന്ത്രണ രീതികൾ ഇതാ	പാവലും പടവലവും കൃഷി ചെയ്യുമ്പോൾ പന്തലിൽ തന്നെ വൈക്കോൽ വച്ചു കൊടുക്കാം പയറിലെ ചാഴിയെ അകറ്റാനുള്ള വെളിച്ചക്കെണിയായി പന്തം വൈകുന്നേരം 6 മുതൽ 7 മണി വരെ വയ്ക്കാം	2026-05-18T13:31:38.964394
ഇടവിള	PRACTICE	applied_to	തെങ്ങ്	CROP	23	ആടലോടകം കൃഷി: നട്ട് ആദ്യവർഷം ഇലകൾ വിളവെടുക്കാം രണ്ട് വർഷം കഴിഞ്ഞ് വേരുകളും, ഇടവിളയായും കൃഷി ചെയ്യാം	ആടലോടകം ഒറ്റയ്ക്കും തെങ്ങ്, റബ്ബർ എന്നിവയുടെ ഇടവിളയായും കൃഷി ചെയ്യാം	2026-05-18T13:31:39.002518
ഇടവിള	PRACTICE	applied_to	റബ്ബർ	CROP	23	ആടലോടകം കൃഷി: നട്ട് ആദ്യവർഷം ഇലകൾ വിളവെടുക്കാം രണ്ട് വർഷം കഴിഞ്ഞ് വേരുകളും, ഇടവിളയായും കൃഷി ചെയ്യാം	ആടലോടകം ഒറ്റയ്ക്കും തെങ്ങ്, റബ്ബർ എന്നിവയുടെ ഇടവിളയായും കൃഷി ചെയ്യാം	2026-05-18T13:31:39.002518
ബാക്ടീരിയൽ ഇല കരിച്ചിൽ	DISEASE	affects	പേര	CROP	24	നെല്ലിന് ബാക്ടീരിയൽ ഇല കരിച്ചിൽ; നിയന്ത്രണ മാർഗ്ഗങ്ങൾ അറിയാം,	ആലപ്പുഴ: ജില്ലയിലെ കരുവാറ്റ, നെടുമുടി, കൈനകരി, തകഴി, നീലംപേരൂർ കൃഷിഭവനുകൾക്ക് കീഴിലുള്ള പാടശേഖരങ്ങളിൽ രണ്ടാം കൃഷി ഇറക്കിയ നെല്ലിൽ ബാക്ടീരിയൽ ഇല കരിച്ചിൽ രോഗം കണ്ടെത്തി	2026-05-18T13:31:39.016573
മഴ	CONDITION	affects	കൊക്കോ	CROP	25	കനത്തമഴയിൽ കൊക്കോക്കായ നശിക്കുന്നു; വിലയും ഇടിഞ്ഞു, ആശങ്കയിൽ കർഷകർ	അടിമാലി: ഹൈറേഞ്ചിലെ കാർഷികമേഖലയെ, പ്രത്യേകിച്ച് കൊക്കോ കൃഷിയെ, തുടർച്ചയായ മഴ പ്രതികൂലമായി ബാധിച്ചു	2026-05-18T13:31:39.023570
ബോർഡോ മിശ്രിതം	TREATMENT	used_for	കൊക്കോ	CROP	25	കനത്തമഴയിൽ കൊക്കോക്കായ നശിക്കുന്നു; വിലയും ഇടിഞ്ഞു, ആശങ്കയിൽ കർഷകർ	അടയ്ക്കാ കൃഷിക്ക് ഉപയോഗിക്കുന്ന ബോർഡോ മിശ്രിതം തളിച്ച് കൊക്കോയിലെ രോഗങ്ങളെ പ്രതിരോധിക്കാൻ സാധിക്കുമെങ്കിലും, നിരന്തരമായ മഴ കാരണം പല കർഷകർക്കും ഇത് തളിക്കാൻ കഴിഞ്ഞില്ല	2026-05-18T13:31:39.025577
പുഴു	PEST	affects	ഗോതമ്പ്	CROP	26	അസീൽ; അങ്കക്കോഴികളിൽ കേമൻ, രുചിയുള്ളതും പോഷകപ്രദവുമായ മാംസം, പരിപാലനം എങ്ങനെ?	അത്തരം കോഴികൾക്ക് ബജ്റ, റാഗി, ചോളം, കടല, ഗോതമ്പ് തുടങ്ങിയ ധാന്യങ്ങളും പുഴുങ്ങിയ മുട്ട, കോഴിയിറച്ചി, വീട്ടിലെ മറ്റ് ഭക്ഷണാവശിഷ്ടങ്ങൾ എന്നിവയും നൽകാം	2026-05-18T13:31:39.051173
പുഴു	PEST	affects	ചോളം	CROP	26	അസീൽ; അങ്കക്കോഴികളിൽ കേമൻ, രുചിയുള്ളതും പോഷകപ്രദവുമായ മാംസം, പരിപാലനം എങ്ങനെ?	അത്തരം കോഴികൾക്ക് ബജ്റ, റാഗി, ചോളം, കടല, ഗോതമ്പ് തുടങ്ങിയ ധാന്യങ്ങളും പുഴുങ്ങിയ മുട്ട, കോഴിയിറച്ചി, വീട്ടിലെ മറ്റ് ഭക്ഷണാവശിഷ്ടങ്ങൾ എന്നിവയും നൽകാം	2026-05-18T13:31:39.051173
പുഴു	PEST	affects	കടല	CROP	26	അസീൽ; അങ്കക്കോഴികളിൽ കേമൻ, രുചിയുള്ളതും പോഷകപ്രദവുമായ മാംസം, പരിപാലനം എങ്ങനെ?	അത്തരം കോഴികൾക്ക് ബജ്റ, റാഗി, ചോളം, കടല, ഗോതമ്പ് തുടങ്ങിയ ധാന്യങ്ങളും പുഴുങ്ങിയ മുട്ട, കോഴിയിറച്ചി, വീട്ടിലെ മറ്റ് ഭക്ഷണാവശിഷ്ടങ്ങൾ എന്നിവയും നൽകാം	2026-05-18T13:31:39.051173
വേപ്പിൻകുരു സത്ത്	TREATMENT	used_for	കാന്താരി	CROP	28	ഓഗസ്റ്റ് മാസത്തെ കൃഷി പരിപാലനം | ഞാറ്റുവേലയും കൃഷിശാസ്ത്രവും	\n* **ചാഴി ആക്രമണം (കതിരാകുമ്പോൾ):** കാന്താരി ഗോമൂത്ര മിശ്രിതം, വേപ്പെണ്ണ, വേപ്പിൻകുരു സത്ത് എന്നിവ ഉപയോഗിച്ച് ജൈവനിയന്ത്രണം നടത്താം	2026-05-18T13:31:39.109949
വേപ്പിൻകുരു സത്ത്	TREATMENT	controls	ചാഴി	PEST	28	ഓഗസ്റ്റ് മാസത്തെ കൃഷി പരിപാലനം | ഞാറ്റുവേലയും കൃഷിശാസ്ത്രവും	\n* **ചാഴി ആക്രമണം (കതിരാകുമ്പോൾ):** കാന്താരി ഗോമൂത്ര മിശ്രിതം, വേപ്പെണ്ണ, വേപ്പിൻകുരു സത്ത് എന്നിവ ഉപയോഗിച്ച് ജൈവനിയന്ത്രണം നടത്താം	2026-05-18T13:31:39.109949
ചാഴി	PEST	affects	കാന്താരി	CROP	28	ഓഗസ്റ്റ് മാസത്തെ കൃഷി പരിപാലനം | ഞാറ്റുവേലയും കൃഷിശാസ്ത്രവും	\n* **ചാഴി ആക്രമണം (കതിരാകുമ്പോൾ):** കാന്താരി ഗോമൂത്ര മിശ്രിതം, വേപ്പെണ്ണ, വേപ്പിൻകുരു സത്ത് എന്നിവ ഉപയോഗിച്ച് ജൈവനിയന്ത്രണം നടത്താം	2026-05-18T13:31:39.109949
രാസവളം	FERTILIZER	used_for	വാഴ	CROP	28	ഓഗസ്റ്റ് മാസത്തെ കൃഷി പരിപാലനം | ഞാറ്റുവേലയും കൃഷിശാസ്ത്രവും	\n* **രാസവളം:** വാഴയ്ക്ക് നൽകേണ്ട രാസവളം പട്ടികയിൽ നൽകിയിരിക്കുന്നു	2026-05-18T13:31:39.134197
ബോർഡോ മിശ്രിതം	TREATMENT	treats	ഇലപ്പുള്ളി രോഗം	DISEASE	28	ഓഗസ്റ്റ് മാസത്തെ കൃഷി പരിപാലനം | ഞാറ്റുവേലയും കൃഷിശാസ്ത്രവും	\n* **ഇലപ്പുള്ളി രോഗം:** 1% ബോർഡോ മിശ്രിതം ഫലപ്രദമാണ്	2026-05-18T13:31:39.137203
നീർവാർച്ച	CONDITION	affects	വാഴ	CROP	28	ഓഗസ്റ്റ് മാസത്തെ കൃഷി പരിപാലനം | ഞാറ്റുവേലയും കൃഷിശാസ്ത്രവും	\n* **കടചീയൽ:** വാഴത്തോട്ടങ്ങളിൽ നീർവാർച്ച ഉറപ്പാക്കുക	2026-05-18T13:31:39.139203
ചീയൽ	DISEASE	affects	വാഴ	CROP	28	ഓഗസ്റ്റ് മാസത്തെ കൃഷി പരിപാലനം | ഞാറ്റുവേലയും കൃഷിശാസ്ത്രവും	\n* **കടചീയൽ:** വാഴത്തോട്ടങ്ങളിൽ നീർവാർച്ച ഉറപ്പാക്കുക	2026-05-18T13:31:39.139203
രാസവളം	FERTILIZER	used_for	ചക്ക	CROP	28	ഓഗസ്റ്റ് മാസത്തെ കൃഷി പരിപാലനം | ഞാറ്റുവേലയും കൃഷിശാസ്ത്രവും	\n\n**കൈതച്ചക്ക കൃഷി പരിചരണം**\n* കളകൾ നീക്കം ചെയ്ത് രണ്ടാം ഗഡു രാസവളം നൽകുക	2026-05-18T13:31:39.147203
ജൈവകൃഷി	PRACTICE	applied_to	ചക്ക	CROP	28	ഓഗസ്റ്റ് മാസത്തെ കൃഷി പരിപാലനം | ഞാറ്റുവേലയും കൃഷിശാസ്ത്രവും	ജൈവകൃഷിക്ക് ആരോഗ്യമുള്ള ഒരു കൈതച്ചക്ക ചെടിക്ക് 10-15 കിലോ ജൈവവളം നൽകാം	2026-05-18T13:31:39.151203
ജൈവവളം	FERTILIZER	used_for	ചക്ക	CROP	28	ഓഗസ്റ്റ് മാസത്തെ കൃഷി പരിപാലനം | ഞാറ്റുവേലയും കൃഷിശാസ്ത്രവും	ജൈവകൃഷിക്ക് ആരോഗ്യമുള്ള ഒരു കൈതച്ചക്ക ചെടിക്ക് 10-15 കിലോ ജൈവവളം നൽകാം	2026-05-18T13:31:39.151203
നീർവാർച്ച	CONDITION	affects	ഇഞ്ചി	CROP	28	ഓഗസ്റ്റ് മാസത്തെ കൃഷി പരിപാലനം | ഞാറ്റുവേലയും കൃഷിശാസ്ത്രവും	\n\n**ഇഞ്ചി, മഞ്ഞൾ കൃഷി പരിചരണം**\n* തോട്ടത്തിൽ നീർവാർച്ച ഉറപ്പാക്കുക	2026-05-18T13:31:39.159203
നീർവാർച്ച	CONDITION	affects	മഞ്ഞൾ	CROP	28	ഓഗസ്റ്റ് മാസത്തെ കൃഷി പരിപാലനം | ഞാറ്റുവേലയും കൃഷിശാസ്ത്രവും	\n\n**ഇഞ്ചി, മഞ്ഞൾ കൃഷി പരിചരണം**\n* തോട്ടത്തിൽ നീർവാർച്ച ഉറപ്പാക്കുക	2026-05-18T13:31:39.159203
പൊട്ടാഷ്	FERTILIZER	used_for	ഇഞ്ചി	CROP	28	ഓഗസ്റ്റ് മാസത്തെ കൃഷി പരിപാലനം | ഞാറ്റുവേലയും കൃഷിശാസ്ത്രവും	ഇഞ്ചി നട്ട് മൂന്നു മാസത്തിന് ശേഷം സെന്റിന് 350 ഗ്രാം യൂറിയ, 500 ഗ്രാം പൊട്ടാഷ് എന്നിവ നൽകുക	2026-05-18T13:31:39.162203
യൂറിയ	FERTILIZER	used_for	ഇഞ്ചി	CROP	28	ഓഗസ്റ്റ് മാസത്തെ കൃഷി പരിപാലനം | ഞാറ്റുവേലയും കൃഷിശാസ്ത്രവും	ഇഞ്ചി നട്ട് മൂന്നു മാസത്തിന് ശേഷം സെന്റിന് 350 ഗ്രാം യൂറിയ, 500 ഗ്രാം പൊട്ടാഷ് എന്നിവ നൽകുക	2026-05-18T13:31:39.162203
ബോർഡോ മിശ്രിതം	TREATMENT	treats	മൂടുചീയൽ	DISEASE	28	ഓഗസ്റ്റ് മാസത്തെ കൃഷി പരിപാലനം | ഞാറ്റുവേലയും കൃഷിശാസ്ത്രവും	മൂടുചീയൽ, കടചീയൽ എന്നിവ നിയന്ത്രിക്കാൻ 1% ബോർഡോ മിശ്രിതം തളിക്കുകയോ തടങ്ങളിൽ ഒഴിക്കുകയോ ചെയ്യുക	2026-05-18T13:31:39.164203
വേപ്പിൻപിണ്ണാക്ക്	FERTILIZER	used_for	കടല	CROP	28	ഓഗസ്റ്റ് മാസത്തെ കൃഷി പരിപാലനം | ഞാറ്റുവേലയും കൃഷിശാസ്ത്രവും	ജൈവകൃഷിയിൽ പച്ചച്ചാണകം, കടലപ്പിണ്ണാക്ക്, വേപ്പിൻപിണ്ണാക്ക് (ഓരോ കിലോ വീതം) 10 ലിറ്റർ വെള്ളത്തിൽ 5 ദിവസം പുളിപ്പിച്ച ശേഷം ഇരട്ടി നേർപ്പിച്ച് ആഴ്ചയിൽ ഒരു ലിറ്റർ വീതം തടങ്ങളിൽ ഒഴിക്കുക	2026-05-18T13:31:39.181203
ജൈവകൃഷി	PRACTICE	applied_to	കടല	CROP	28	ഓഗസ്റ്റ് മാസത്തെ കൃഷി പരിപാലനം | ഞാറ്റുവേലയും കൃഷിശാസ്ത്രവും	ജൈവകൃഷിയിൽ പച്ചച്ചാണകം, കടലപ്പിണ്ണാക്ക്, വേപ്പിൻപിണ്ണാക്ക് (ഓരോ കിലോ വീതം) 10 ലിറ്റർ വെള്ളത്തിൽ 5 ദിവസം പുളിപ്പിച്ച ശേഷം ഇരട്ടി നേർപ്പിച്ച് ആഴ്ചയിൽ ഒരു ലിറ്റർ വീതം തടങ്ങളിൽ ഒഴിക്കുക	2026-05-18T13:31:39.181203
കീടനാശിനി പ്രയോഗം	TREATMENT	treats	ഓല മഞ്ഞളിപ്പ്	DISEASE	29	പാടശേഖരങ്ങളിൽ കരിഞ്ചാഴി; ജാഗ്രത വേണം, അറിയാം നിയന്ത്രണ മാർഗ്ഗങ്ങൾ	കീടങ്ങളുടെ എണ്ണം കൂടുകയും നെല്ലിൽ ഓല മഞ്ഞളിപ്പ്, വളർച്ച മുരടിപ്പ്, നടുനാമ്പ് വാട്ടം തുടങ്ങിയ ലക്ഷണങ്ങൾ പ്രകടമാവുകയും ചെയ്താൽ സാങ്കേതിക ഉപദേശം തേടി കീടനാശിനി പ്രയോഗം നടത്താവുന്നതാണ്	2026-05-18T13:31:39.197161
യൂറിയ	FERTILIZER	used_for	കടല	CROP	49	Fertilizers	ഇവയെ ലഘുവളങ്ങള്‍ (ഒറ്റ പോഷകം, ഉദാ: യൂറിയ), സങ്കീര്‍ണ്ണ വളങ്ങള്‍ (രണ്ടോ അതിലധികമോ പോഷകങ്ങള്‍, ഉദാ: 17 17 17 NPK), മിശ്ര വളങ്ങള്‍ (രണ്ടോ അതിലധികമോ പോഷകങ്ങള്‍, ഉദാ: കടലപ്പരിപ്പ് മിശ്രിതം) എന്നിങ്ങനെ തരംതിരിച്ചിരിക്കുന്നു	2026-05-18T13:31:39.301163
ജലസേചനം	PRACTICE	applied_to	കപ്പ	CROP	53	Irrigation	"""ജലസേചനം എന്നത്, മഴയുടെയും ഭൂഗർഭജലത്തിന്റെയും സംഭാവനയ്ക്ക് പുറമേ, വിള ഉത്പാദനത്തിനായി മണ്ണിലേക്ക് ജലം കൃത്രിമമായി പ്രയോഗിക്കുന്നതായി നിർവചിക്കപ്പെടുന്നു"	2026-05-18T13:31:39.310160
മഴ	CONDITION	affects	കപ്പ	CROP	53	Irrigation	"""ജലസേചനം എന്നത്, മഴയുടെയും ഭൂഗർഭജലത്തിന്റെയും സംഭാവനയ്ക്ക് പുറമേ, വിള ഉത്പാദനത്തിനായി മണ്ണിലേക്ക് ജലം കൃത്രിമമായി പ്രയോഗിക്കുന്നതായി നിർവചിക്കപ്പെടുന്നു"	2026-05-18T13:31:39.310160
ഈർപ്പം	CONDITION	affects	കപ്പ	CROP	53	Irrigation	മണ്ണിലെ ഈർപ്പം കുറവാണെങ്കിൽ, സസ്യങ്ങളുടെ ആവശ്യങ്ങൾ പൂർത്തീകരിക്കപ്പെടുന്നില്ല	2026-05-18T13:31:39.317160
ഈർപ്പം	CONDITION	affects	കാപ്പി	CROP	54	Irrigation Methods	ഈർപ്പം കാപ്പിലറി പ്രവർത്തനത്തിലൂടെ മണ്ണിന്റെ ഉപരിതലത്തിലേക്ക് മുകളിലേക്ക് നീങ്ങുന്നു	2026-05-18T13:31:39.340163
ഇരുമ്പ്	FERTILIZER	used_for	സൂര്യകാന്തി	CROP	59	Sowing behind the plough	ഗുണങ്ങൾ: വിത്ത് ആവശ്യമായ ആഴത്തിൽ സ്ഥാപിക്കപ്പെടുന്നു, ഇരുമ്പ് പലകകളാൽ മൂടപ്പെടുന്നു, വളരെ ചെറിയതും വളരെ വലിയതുമായ വിത്തുകൾ ഒഴികെ മിക്കവാറും എല്ലാ വിത്തുകളും ഇങ്ങനെ വിതയ്ക്കാം, ഉദാ: ചോളം, ജോവർ, ചാമ, സൂര്യകാന്തി, മുതലായവ	2026-05-18T13:31:39.391165
ഇരുമ്പ്	FERTILIZER	used_for	കപ്പ	CROP	59	Sowing behind the plough	ഗുണങ്ങൾ: വിത്ത് ആവശ്യമായ ആഴത്തിൽ സ്ഥാപിക്കപ്പെടുന്നു, ഇരുമ്പ് പലകകളാൽ മൂടപ്പെടുന്നു, വളരെ ചെറിയതും വളരെ വലിയതുമായ വിത്തുകൾ ഒഴികെ മിക്കവാറും എല്ലാ വിത്തുകളും ഇങ്ങനെ വിതയ്ക്കാം, ഉദാ: ചോളം, ജോവർ, ചാമ, സൂര്യകാന്തി, മുതലായവ	2026-05-18T13:31:39.391165
ഇരുമ്പ്	FERTILIZER	used_for	ചോളം	CROP	59	Sowing behind the plough	ഗുണങ്ങൾ: വിത്ത് ആവശ്യമായ ആഴത്തിൽ സ്ഥാപിക്കപ്പെടുന്നു, ഇരുമ്പ് പലകകളാൽ മൂടപ്പെടുന്നു, വളരെ ചെറിയതും വളരെ വലിയതുമായ വിത്തുകൾ ഒഴികെ മിക്കവാറും എല്ലാ വിത്തുകളും ഇങ്ങനെ വിതയ്ക്കാം, ഉദാ: ചോളം, ജോവർ, ചാമ, സൂര്യകാന്തി, മുതലായവ	2026-05-18T13:31:39.391165
മഴ	CONDITION	affects	കപ്പ	CROP	64	Intensive Cropping	ഉദാ: ജവര്‍, കൊതിയന്‍ കപ്പ, പയര്‍ എന്നിവ മഴയില്‍ വിതയ്ക്കുന്നു	2026-05-18T13:31:39.443681
